ticker,clase,first_date,last_date,n_rows,raw_first,flags
NKTR,WL,2005-02-25,2026-07-01,5366,2005-02-25,BORDE-COBERTURA
NLR,WL,2007-08-15,2026-07-01,4655,2007-08-15,
NNE,WL,2024-05-08,2026-07-01,538,2024-05-08,
NNOX,WL,2020-08-21,2026-07-01,1471,2020-08-21,
NOC,WL,2000-01-03,2026-07-01,6663,1981-12-31,PROFUNDO
NOVT,WL,2005-02-25,2026-07-01,5370,2005-02-25,BORDE-COBERTURA
NPK,WL,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
NPWR,WL,2021-08-09,2026-07-01,1214,2021-08-09,
NRG,WL,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
NTAP,WL,2000-01-03,2026-07-01,6663,1995-11-21,PROFUNDO
NTLA,WL,2016-05-06,2026-07-01,2552,2016-05-06,
NTRA,WL,2015-07-02,2026-07-01,2765,2015-07-02,
NUKZ,WL,2024-01-25,2026-07-01,607,2024-01-25,
NUVB,WL,2020-08-27,2026-07-01,1464,2020-08-27,
NUVL,WL,2021-07-29,2026-07-01,1236,2021-07-29,
NVAX,WL,2005-02-25,2026-07-01,5368,2005-02-25,BORDE-COBERTURA
NVCT,WL,2022-02-04,2026-07-01,1102,2022-02-04,
NVDA,WL,2000-01-03,2026-07-01,6663,1999-01-22,PROFUNDO
NVEC,WL,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
NVT,WL,2018-05-03,2026-07-01,2051,2018-05-03,
NVTS,WL,2021-01-26,2026-07-01,1364,2021-01-26,
NVVE,WL,2020-05-01,2026-07-01,1507,2020-05-01,
NXPI,WL,2010-08-05,2026-07-01,3999,2010-08-05,
OKLO,WL,2021-07-08,2026-07-01,1223,2021-07-08,
OM,WL,2020-09-15,2026-07-01,1455,2020-09-15,
ON,WL,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
OSIS,WL,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
OSK,WL,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
OUST,WL,2020-10-19,2026-07-01,1427,2020-10-19,
PAVE,WL,2017-03-09,2026-07-01,2338,2017-03-09,
PBW,WL,2005-03-03,2026-07-01,5362,2005-03-03,
PCAR,WL,2000-01-03,2026-07-01,6661,1986-07-09,PROFUNDO
PEG,WL,2000-01-03,2026-07-01,6663,1980-01-02,PROFUNDO
PENG,WL,2017-05-24,2026-07-01,2288,2017-05-24,
PEPG,WL,2022-05-06,2026-07-01,1041,2022-05-06,
PGEN,WL,2013-08-08,2026-07-01,3243,2013-08-08,
PH,WL,2000-01-03,2026-07-01,6663,1985-07-01,PROFUNDO
PHO,WL,2005-12-06,2026-07-01,5172,2005-12-06,
PI,WL,2016-07-21,2026-07-01,2500,2016-07-21,
PKE,WL,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
PLUG,WL,2011-06-21,2026-07-01,3779,2011-06-21,
PMAX,WL,2024-09-05,2026-07-01,456,2024-09-05,
PNR,WL,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
POET,WL,2022-03-15,2026-07-01,1078,2022-03-15,
POW,WL,2025-10-28,2026-07-01,169,2025-10-28,
POWI,WL,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
POWL,WL,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
PPA,WL,2005-10-26,2026-07-01,5197,2005-10-26,
PPSI,WL,2013-09-20,2026-07-01,2900,2013-09-20,
PRIM,WL,2006-10-26,2026-07-01,4758,2006-10-26,
PRSO,WL,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
PRTA,WL,2012-12-26,2026-07-01,3398,2012-12-26,
